agno,mes,dia,valor
1993,3,5,0
1993,4,5,61.3
1993,5,5,120.6
1993,6,5,1.2
1993,7,5,45.5
1993,8,5,32.5
1993,9,5,18.5
1993,10,5,0
1993,11,5,0
1993,12,5,0
1994,1,5,0
1994,2,5,0
1994,3,5,0
1994,4,5,5.7
1994,5,5,13.1
1994,6,5,47.8
1994,7,5,35.9
1994,8,5,14.8
1994,9,5,0
1994,10,5,0
1994,11,5,0
1994,12,5,0
1995,1,5,32
1995,2,5,0
1995,3,5,0
1995,4,5,7.7
1995,5,5,0
1995,6,5,29.1
1995,7,5,20.6
1995,8,5,0
1995,9,5,17
1995,10,5,0
1995,11,5,0
1995,12,5,6.1
1996,1,5,0
1996,2,5,0
1996,3,5,0
1996,4,5,13.1
1996,5,5,0
1996,6,5,36.5
1996,7,5,91.4
1996,8,5,59.2
1996,9,5,3
1996,10,5,0
1996,11,5,0
1996,12,5,0
1997,1,5,0
1997,2,5,0
1997,3,5,13.5
1997,4,5,0
1997,5,5,0
1997,6,5,514.2
1997,7,5,31
1997,8,5,232.3
1997,9,5,45.6
1997,10,5,56.9
1997,11,5,0
1997,12,5,0
1998,1,5,0
1998,2,5,0
1998,3,5,8.4
1998,4,5,0
1998,5,5,3.2
1998,6,5,59.9
1998,7,5,0
1998,8,5,0
1998,9,5,6
1998,10,5,0
1998,11,5,0
1998,12,5,0
1999,1,5,0
1999,2,5,0
1999,3,5,9.2
1999,4,5,7.2
1999,5,5,52.7
1999,6,5,50.5
1999,7,5,0
1999,8,5,11.4
1999,9,5,76.4
1999,10,5,11.7
1999,11,5,0
1999,12,5,0
2000,1,5,0
2000,2,5,0
2000,3,5,0
2000,4,5,28.5
2000,5,5,29.5
2000,6,5,225.1
2000,7,5,110.6
2000,8,5,0
2000,9,5,64.9
2000,10,5,0
2000,11,5,0
2000,12,5,0
2001,1,5,0
2001,2,5,0
2001,3,5,6
2001,4,5,2.5
2001,5,5,12.2
2001,6,5,0
2001,7,5,156.1
2001,8,5,86
2001,9,5,9.5
2001,10,5,19.2
2001,11,5,0
2001,12,5,4.1
2002,1,5,0
2002,2,5,0
2002,3,5,0
2002,4,5,30.5
2002,5,5,274.5
2002,6,5,102
2002,7,5,180.3
2002,8,5,78
2002,9,5,18.1
2002,10,5,0
2002,11,5,0
2002,12,5,0
2003,1,5,0
2003,2,5,0
2003,3,5,0
2003,4,5,0
2003,5,5,131.7
2003,6,5,27
2003,7,5,50.6
2003,8,5,4
2003,9,5,0
2003,10,5,0
2003,11,5,0
2003,12,5,0
2004,1,5,0
2004,2,5,0
2004,3,5,15.1
2004,4,5,56
2004,5,5,0
2004,6,5,18
2004,7,5,60.6
2004,8,5,76.5
2004,9,5,17
2004,10,5,4.5
2004,11,5,20
2004,12,5,0
2005,1,5,0
2005,2,5,0
2005,3,5,43
2005,4,5,19.5
2005,5,5,95.1
2005,6,5,132
2005,7,5,15
2005,8,5,123.7
2005,9,5,42
2005,10,5,7.6
2005,11,5,0
2005,12,5,0
2006,1,5,0
2006,2,5,13
2006,3,5,0
2006,4,5,0
2006,5,5,0
2006,6,5,18.5
2006,7,5,126.2
2006,8,5,7.5
2006,9,5,0
2006,10,5,6
2006,11,5,0
2006,12,5,0
2007,1,5,0
2007,2,5,0
2007,3,5,0
2007,4,5,0
2007,5,5,0
2007,6,5,100.5
2007,7,5,32.2
2007,8,5,10.5
2007,9,5,0
2007,10,5,0
2007,11,5,0
2007,12,5,0
2008,1,5,0
2008,2,5,4.5
2008,3,5,0
2008,4,5,0
2008,5,5,85.2
2008,6,5,102.5
2008,7,5,28
2008,8,5,201.5
2008,9,5,2.5
2008,10,5,0
2008,11,5,0
2008,12,5,0
2009,1,5,0
2009,2,5,0
2009,3,5,0
2009,4,5,0
2009,5,5,9
2009,6,5,54
2009,7,5,56
2009,8,5,92.7
2009,9,5,7
2009,10,5,0
2009,11,5,0
2009,12,5,0
2010,1,5,1.5
2010,2,5,0
2010,3,5,0
2010,4,5,0
2010,5,5,105.1
2010,6,5,84.6
2010,7,5,24
2010,8,5,7.2
2010,9,5,25.7
2010,10,5,0
2010,11,5,1.3
2010,12,5,0
2011,1,5,0
2011,2,5,5.2
2011,3,5,0
2011,4,5,2
2011,5,5,0
2011,6,5,184.5
2011,7,5,22.9
2011,8,5,42
2011,9,5,0
2011,10,5,0
2011,11,5,0
2011,12,5,0
2012,1,5,0
2012,2,5,0
2012,3,5,0
2012,4,5,52
2012,5,5,24.5
2012,6,5,6.5
2012,7,5,0
2012,8,5,31.5
2012,9,5,0
2012,10,5,2.5
2012,11,5,0
2012,12,5,0
2013,1,5,0
2013,2,5,0
2013,3,5,0
2013,4,5,0
2013,5,5,122.6
2013,6,5,30
2013,7,5,22.2
2013,8,5,7.2
2013,9,5,0
2013,10,5,0
2013,11,5,5.7
2013,12,5,0
2014,1,5,4.6
2014,2,5,0
2014,3,5,0
2014,4,5,0
2014,5,5,0
2014,6,5,82.3
2014,7,5,1.4
2014,8,5,9.9
2014,9,5,14
2014,10,5,0
2014,11,5,0
2014,12,5,0
2015,1,5,0
2015,2,5,0
2015,3,5,46.1
2015,4,5,0
2015,5,5,0
2015,6,5,0
2015,7,5,55.5
2015,8,5,279.6
2015,9,5,12.4
2015,10,5,86.9
2015,11,5,0
2015,12,5,0
2016,2,5,0
2016,3,5,0
2016,4,5,39.6
2016,6,5,128
2016,7,5,76.3
2016,8,5,0
2016,9,5,0
2017,2,5,0
2017,3,5,0
2017,4,5,0
